'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8','ECG'
'[18:53:41.938 08/07/2079]',31.648,13.284,-31.648,8.987,12.503,15.629,-7.424,0.781,21.880,12.894,-1.954,4.298,15.629,17.192,6.252,-1.172,14.066,-5.861,32.430,-5.079,-13.284,-4.689,6.252,-30.476
'[18:53:41.941 08/07/2079]',24.225,18.364,-48.840,9.768,4.298,4.689,-7.424,2.735,10.940,8.596,-1.563,3.907,5.861,9.377,9.377,-2.735,10.159,-9.377,49.621,-13.284,-14.847,-8.987,9.377,-24.225
'[18:53:41.945 08/07/2079]',17.192,-5.470,-30.867,8.596,0.391,-1.563,-4.298,-4.298,7.424,8.596,-1.954,1.172,4.298,12.894,0.781,-1.954,6.642,-9.768,31.648,-0.781,-5.861,-2.344,0.781,-3.516
'[18:53:41.949 08/07/2079]',19.927,-23.053,-12.112,1.954,-0.781,3.126,-7.814,-7.424,12.503,12.894,-8.987,0.781,5.079,2.344,8.596,-0.391,6.642,-9.768,12.894,15.238,-11.331,-11.722,8.596,32.821
'[18:53:41.953 08/07/2079]',15.238,-35.946,0.391,3.907,-2.735,5.079,-12.894,-4.689,14.457,8.205,-6.642,-4.298,6.252,-8.596,17.582,-3.516,6.642,-9.768,0.391,33.993,-17.973,-16.801,17.582,78.144
'[18:53:41.957 08/07/2079]',9.377,-28.523,-1.563,6.642,-0.781,0.781,-12.894,0.000,16.801,7.033,-7.814,-1.563,7.814,7.424,0.000,-1.172,7.424,-11.722,2.344,25.397,-10.940,0.000,0.000,117.607
'[18:53:41.961 08/07/2079]',3.516,-19.536,-5.470,5.079,-3.126,2.735,-11.331,-3.126,19.145,7.814,-8.205,-0.781,5.079,16.801,-2.344,-1.954,7.814,-14.066,6.252,16.410,-2.735,4.689,-2.344,147.692
'[18:53:41.965 08/07/2079]',2.735,-15.238,-3.907,5.079,-3.907,4.689,-8.596,-1.563,15.629,8.596,-6.252,-2.735,7.814,23.443,-8.596,-7.424,8.205,-16.410,4.689,19.927,10.159,1.954,-8.596,159.805
'[18:53:41.969 08/07/2079]',0.391,-17.582,-6.252,8.987,-7.814,-3.126,-6.252,3.516,7.033,3.907,-5.861,-0.391,3.907,26.569,-23.053,-2.344,5.079,-17.582,7.033,9.377,19.536,5.470,-23.053,157.851
'[18:53:41.973 08/07/2079]',-3.126,-11.331,-8.205,7.424,-9.377,-6.252,-2.735,3.907,3.126,5.470,-6.252,-1.954,-2.344,19.927,-11.331,-5.079,4.689,-9.377,8.987,3.516,12.894,4.298,-11.331,144.957
'[18:53:41.977 08/07/2079]',-2.344,2.735,-17.192,-3.907,-15.238,-6.252,-5.079,6.252,0.391,2.735,-3.907,1.954,-2.735,8.596,-1.954,-2.735,4.298,-7.033,17.973,0.000,-1.954,-8.596,-1.954,126.203
'[18:53:41.980 08/07/2079]',-1.563,-0.391,-18.364,4.298,-16.410,-3.907,-10.549,15.238,-1.563,-2.735,0.781,4.298,-2.735,1.954,-1.563,3.516,3.907,-4.689,19.145,7.033,-25.006,-3.516,-1.563,112.527
'[18:53:41.984 08/07/2079]',0.391,19.927,-35.165,2.344,-13.284,-3.126,-8.596,13.284,-0.391,-0.391,-0.391,7.033,-6.642,-2.344,4.298,10.159,4.298,0.391,35.946,-16.410,-33.211,0.391,4.298,103.541
'[18:53:41.988 08/07/2079]',-3.907,15.629,-31.648,2.735,-18.364,-6.642,-5.079,14.066,1.172,-0.391,-1.563,4.298,-1.563,-2.344,4.689,2.344,1.563,-1.172,32.430,-8.987,-21.099,-8.987,4.689,94.164
'[18:53:41.992 08/07/2079]',-3.516,-10.159,-8.596,1.954,-19.536,-8.987,-9.377,17.973,3.907,-2.344,-3.907,2.735,3.126,-5.861,2.344,0.781,1.563,-3.907,9.377,24.225,-19.536,-15.629,2.344,66.422
'[18:53:41.996 08/07/2079]',-3.907,4.689,-29.695,-2.344,-22.662,-12.503,-3.907,8.596,-3.907,-6.642,-3.516,-5.079,-7.424,-12.503,3.907,-4.298,-1.954,-0.391,30.476,-8.987,-7.424,-26.178,3.907,25.006
'[18:53:42.000 08/07/2079]',-4.298,-27.350,-7.033,-2.735,-23.834,-8.205,-8.987,0.391,-7.033,-9.768,-5.861,-10.549,-8.205,-1.954,-6.252,-17.973,-4.298,-3.126,7.814,20.708,0.391,-20.317,-6.252,-22.662
'[18:53:42.004 08/07/2079]',-0.781,-32.039,-5.079,0.781,-21.490,1.954,-23.834,6.642,-6.252,-13.284,-1.172,0.000,-7.424,-14.457,7.814,-7.424,-1.172,-3.516,5.861,32.821,-11.331,-34.383,7.814,-61.734
'[18:53:42.008 08/07/2079]',-6.252,-15.629,-12.894,6.642,-21.880,1.563,-23.053,15.238,-8.205,-13.284,-5.079,-0.781,-10.940,3.907,-17.973,-2.344,-1.563,-3.126,13.675,19.536,-19.927,-2.344,-17.973,-84.786
'[18:53:42.012 08/07/2079]',-5.470,-16.801,-6.252,12.112,-18.364,-1.563,-9.768,14.066,-2.735,-5.470,-5.470,1.954,-8.205,6.252,-12.894,1.172,-1.563,0.000,7.033,28.523,-32.821,8.987,-12.894,-96.508
'[18:53:42.016 08/07/2079]',0.000,-16.410,-5.470,17.973,-13.675,0.391,-7.424,17.192,4.689,-2.344,-7.033,-3.126,-0.391,12.894,-19.536,-0.781,0.000,0.000,6.252,24.225,-19.536,5.470,-19.536,-100.806
'[18:53:42.020 08/07/2079]',-2.735,2.344,-22.271,15.238,-17.192,-8.205,1.563,15.629,0.000,0.391,-7.424,-2.344,-3.516,12.112,-20.317,1.563,-1.954,1.563,23.053,-6.252,-9.768,5.079,-20.317,-106.276
'[18:53:42.023 08/07/2079]',2.735,5.079,-27.741,0.781,-11.331,-11.331,6.252,-1.954,0.391,0.000,-7.424,-19.536,-1.954,16.020,-28.523,-14.066,-0.781,0.781,28.523,-14.847,-1.172,3.907,-28.523,-109.792
'[18:53:42.027 08/07/2079]',0.781,-16.801,-7.814,1.954,-8.987,6.642,-15.238,-3.907,-1.563,-1.563,-9.377,-14.066,-2.735,0.391,-17.192,-8.205,0.000,-1.954,8.596,11.331,1.954,-14.847,-17.192,-108.620
'[18:53:42.031 08/07/2079]',7.033,-20.317,-4.689,1.563,-7.033,8.205,-16.020,-1.954,-7.424,-1.954,-3.516,-4.689,-8.205,-3.516,-4.689,-0.781,1.563,-1.172,5.470,13.284,-17.192,-8.596,-4.689,-100.806
'[18:53:42.035 08/07/2079]',11.331,-16.801,-7.424,6.252,-3.516,14.066,-16.801,-0.391,-0.781,0.781,-6.252,-0.781,-4.689,0.781,-4.689,0.781,2.735,1.172,8.205,14.847,-21.490,-2.344,-4.689,-91.819
'[18:53:42.039 08/07/2079]',7.033,-10.940,-12.112,5.079,-7.033,14.066,-16.020,-2.344,-0.781,1.563,-6.252,8.596,-8.596,8.205,-4.298,7.033,1.172,2.344,12.894,8.596,-19.145,2.735,-4.298,-85.958
'[18:53:42.043 08/07/2079]',7.424,2.735,-22.662,-1.172,-11.331,10.159,-8.987,-2.735,-0.781,3.126,-3.516,4.689,-3.907,7.424,-0.391,1.172,0.391,2.344,23.443,-0.781,-12.503,-7.814,-0.391,-85.958
'[18:53:42.047 08/07/2079]',7.424,25.006,-43.761,-1.563,-12.894,10.940,-7.033,-2.344,1.563,8.987,-7.814,-1.172,2.344,6.252,-7.814,-0.391,1.563,2.344,44.542,-23.834,-0.781,-17.192,-7.814,-82.051
'[18:53:42.051 08/07/2079]',6.642,10.159,-40.635,-1.954,-16.020,5.861,-9.377,-4.689,-0.391,5.079,-10.940,-6.252,1.172,3.126,-16.020,-2.344,-0.391,1.563,41.416,-15.629,-3.907,-12.112,-16.020,-79.316
'[18:53:42.055 08/07/2079]',1.172,-4.298,-20.317,-1.954,-21.490,6.642,-11.722,1.172,-6.642,4.298,-7.424,-5.861,-3.126,-4.689,-4.298,-3.907,0.000,0.391,21.099,-0.781,-16.020,-10.159,-4.298,-81.270
'[18:53:42.059 08/07/2079]',-2.735,-0.391,-19.927,2.344,-24.225,8.205,-17.973,13.284,-5.861,3.907,-7.814,-0.781,-3.126,0.000,-7.814,0.781,0.000,-1.563,20.708,1.563,-21.880,-3.516,-7.814,-85.177
'[18:53:42.063 08/07/2079]',-1.172,-14.066,-9.377,2.344,-21.099,7.033,-17.192,8.205,-5.861,-0.391,-3.126,0.391,-5.079,8.205,-17.192,3.126,0.391,-1.172,10.159,7.814,-22.662,10.549,-17.192,-69.939
'[18:53:42.066 08/07/2079]',-7.814,-7.814,-5.079,3.126,-19.536,5.079,-9.377,5.861,-8.987,0.781,0.391,-0.781,-8.205,3.126,-0.781,-1.954,0.391,-3.126,5.861,-0.781,-8.596,1.954,-0.781,-15.238
'[18:53:42.070 08/07/2079]',-5.079,-5.079,-0.781,4.689,-12.894,7.814,-7.424,6.642,0.391,5.470,0.781,-4.298,2.344,2.735,-0.391,-1.563,3.516,-6.642,1.563,4.689,0.391,-5.861,-0.391,102.759
'[18:53:42.074 08/07/2079]',-5.470,15.238,-37.118,8.596,-15.629,0.000,-8.596,6.252,0.781,3.516,-3.126,-3.126,2.735,3.516,-6.252,-2.344,3.516,-9.377,37.900,-19.927,7.424,-10.159,-6.252,269.597
'[18:53:42.078 08/07/2079]',-11.331,6.252,-46.105,6.252,-22.271,-8.205,-8.987,-3.126,-1.563,1.172,-8.205,-8.987,4.689,1.563,-11.722,-12.894,-1.563,-9.768,46.886,-14.066,21.099,-15.238,-11.722,439.560
'[18:53:42.082 08/07/2079]',-9.377,-18.364,-34.774,4.689,-24.615,-7.424,-15.238,-8.596,-3.516,0.391,-11.331,-12.894,0.391,6.252,-21.880,-13.675,-1.563,-13.284,35.556,7.424,20.708,-12.503,-21.880,536.459
'[18:53:42.086 08/07/2079]',-5.470,-7.424,-68.376,1.954,-28.913,-15.629,-21.490,-11.722,-5.470,-5.861,-14.066,-17.973,-1.172,11.331,-35.165,-19.145,-4.298,-16.020,69.158,-7.424,15.238,-8.987,-35.165,520.049
'[18:53:42.090 08/07/2079]',-22.662,-51.184,-15.238,-4.298,-30.867,-19.536,-21.099,-21.490,-10.940,-10.549,-10.159,-26.569,-8.205,4.689,-26.178,-29.304,-4.689,-17.582,16.020,33.602,28.132,-8.205,-26.178,407.521
'[18:53:42.094 08/07/2079]',-32.039,-26.569,-0.781,-3.126,-15.238,-12.894,-12.894,-19.927,1.954,-3.907,-14.457,-31.258,2.344,-9.768,-17.973,-23.053,1.172,-19.145,1.563,23.443,50.403,-21.099,-17.973,235.995
'[18:53:42.098 08/07/2079]',-14.847,-7.424,-14.066,-2.735,-1.563,-2.735,-14.847,-19.927,14.847,-1.954,-14.066,-29.695,17.582,-3.516,-25.006,-19.927,5.079,-20.317,14.847,10.940,44.933,-17.973,-25.006,92.210
'[18:53:42.102 08/07/2079]',-26.960,-13.675,-14.847,0.781,-13.284,-3.126,-18.364,-18.755,4.298,-7.033,-16.801,-23.053,5.861,-6.252,-30.476,-11.722,0.000,-19.927,15.629,8.596,49.621,-20.317,-30.476,-17.582
'[18:53:42.105 08/07/2079]',-21.490,-14.457,-8.987,2.344,-4.298,-6.642,-12.894,-16.801,10.940,-2.735,-20.708,-17.582,9.377,-1.563,-33.602,-5.470,-1.172,-20.317,9.768,14.066,45.324,-21.099,-33.602,-91.429
'[18:53:42.109 08/07/2079]',-14.066,-16.020,-12.894,-6.252,-10.549,-10.159,-14.457,-12.894,6.252,-5.470,-17.973,-13.284,8.987,-13.284,-21.490,-5.470,-5.470,-21.880,13.675,23.443,23.443,-34.383,-21.490,-181.294
'[18:53:42.113 08/07/2079]',-14.457,-19.145,-17.192,-5.079,-19.536,-12.894,-13.284,-9.377,-7.033,-11.331,-12.503,-8.596,-4.689,-15.238,-16.410,-3.126,-10.159,-17.192,17.973,19.145,0.781,-21.880,-16.410,-284.054
'[18:53:42.117 08/07/2079]',-17.582,0.391,-25.006,0.781,-14.457,-23.834,3.907,-4.689,-5.861,-7.814,-5.861,0.000,-5.861,-14.457,1.954,-2.344,-10.940,-12.112,25.788,0.391,-8.987,-9.377,1.954,-361.807
'[18:53:42.121 08/07/2079]',-17.973,24.225,-26.960,-5.470,-14.457,-8.596,-0.781,-0.391,0.391,-6.642,-1.172,-1.172,3.907,-13.284,2.735,-3.907,-8.205,-10.549,27.741,-17.582,-5.079,-5.861,2.735,-377.045
'[18:53:42.125 08/07/2079]',-23.443,24.615,-32.039,1.172,-21.099,0.391,-13.284,5.861,1.563,-9.377,-0.781,0.391,0.391,11.722,-19.145,-0.781,-8.205,-10.159,32.821,-17.192,-4.689,10.549,-19.145,-336.020
'[18:53:42.129 08/07/2079]',-26.178,1.954,-8.205,5.861,-17.582,-0.391,-7.814,0.781,6.642,-3.126,-1.563,-4.298,3.516,10.549,-11.722,-6.252,-6.642,-7.814,8.987,3.516,8.596,2.344,-11.722,-264.518
'[18:53:42.133 08/07/2079]',-18.364,-0.781,-10.940,7.033,-12.503,0.000,-8.205,0.000,9.377,0.000,-5.861,-7.814,9.768,3.516,-12.503,-5.861,-7.424,-10.159,11.722,4.298,25.006,-16.020,-12.503,-211.770
'[18:53:42.137 08/07/2079]',-16.801,-1.172,-12.894,3.126,-16.020,-1.563,-8.987,-0.391,1.563,-3.126,-9.377,-11.331,7.033,-1.563,-16.410,-10.549,-8.205,-12.112,13.675,8.205,26.178,-21.099,-16.410,-185.592
'[18:53:42.141 08/07/2079]',-21.880,14.457,-24.225,8.596,-17.582,-8.987,-0.781,5.861,-5.861,-2.735,-9.768,-1.172,1.563,-6.642,-9.768,-4.689,-8.205,-9.768,25.006,-8.987,23.053,-15.238,-9.768,-165.275
'[18:53:42.145 08/07/2079]',-21.880,43.761,-44.933,9.377,-10.549,-15.629,3.907,8.987,-5.861,-2.344,-7.814,4.689,3.907,-7.033,-7.033,-1.563,-6.642,-10.159,45.714,-35.556,21.490,-11.331,-7.033,-127.766
'[18:53:42.148 08/07/2079]',-15.238,10.549,-11.722,11.331,-12.503,-1.954,0.391,10.159,-3.516,-2.344,-2.735,5.470,6.252,0.391,-7.424,-3.126,-5.470,-11.722,12.503,0.391,16.020,-6.642,-7.424,-58.217
'[18:53:42.152 08/07/2079]',-17.582,4.689,-9.377,12.894,-13.284,5.861,-6.642,6.642,0.000,0.391,-1.954,4.689,11.722,12.503,-14.847,-5.470,-1.563,-10.549,10.159,3.516,22.662,3.516,-14.847,21.490
'[18:53:42.156 08/07/2079]',-16.020,-7.814,-12.112,13.675,-12.112,1.172,-10.940,0.391,2.344,0.391,-5.470,-4.689,11.722,15.629,-21.099,-15.238,-2.344,-10.940,12.894,11.331,23.053,7.033,-21.099,90.256
'[18:53:42.160 08/07/2079]',-16.410,19.536,-35.165,-3.907,-18.364,1.172,-7.814,-9.377,0.000,-0.391,-4.689,-13.675,10.940,19.145,-21.099,-28.523,-5.079,-12.894,35.946,-7.033,21.880,4.298,-21.099,103.150
'[18:53:42.164 08/07/2079]',-18.364,3.907,-23.443,-2.344,-24.225,1.563,-8.987,-7.814,-5.861,2.344,-11.722,-10.940,8.205,12.894,-28.132,-19.927,-4.298,-10.940,24.225,1.172,24.225,5.861,-28.132,82.833
'[18:53:42.168 08/07/2079]',-24.615,-4.689,-9.377,13.675,-22.662,-5.861,-6.642,10.549,-7.424,4.298,-16.410,-8.596,5.470,7.033,-21.880,-19.536,-4.298,-7.424,10.159,5.079,23.834,7.424,-21.880,19.145
'[18:53:42.172 08/07/2079]',-25.006,12.894,-3.516,8.205,-18.755,-10.940,10.940,12.503,-5.470,7.424,-6.642,-1.563,6.642,19.536,-17.192,-15.629,-2.735,-3.126,4.298,-10.159,27.350,15.629,-17.192,-28.132
'[18:53:42.176 08/07/2079]',-31.258,-4.689,19.536,14.847,-23.053,5.470,-5.470,22.662,-0.781,9.377,-8.205,1.172,13.284,21.099,-22.662,-10.159,0.391,-6.252,-18.755,14.847,39.853,6.642,-22.662,-45.714
'[18:53:42.180 08/07/2079]',-31.648,-6.252,16.801,17.973,-18.364,5.079,-7.814,18.755,1.172,7.033,-9.377,-0.391,16.410,33.993,-36.728,-14.847,0.781,-4.689,-16.020,9.768,49.621,19.927,-36.728,-17.192
'[18:53:42.184 08/07/2079]',-26.178,-4.689,4.298,13.675,-16.801,1.954,-7.814,11.331,-2.344,4.689,-12.112,-5.470,10.159,32.821,-40.244,-17.973,-1.954,-7.424,-3.516,0.391,46.105,19.145,-40.244,35.556
'[18:53:42.188 08/07/2079]',-24.615,-7.424,6.252,1.954,-18.364,8.596,-17.582,4.689,-5.470,5.079,-14.457,-5.470,9.377,16.801,-31.258,-16.410,-3.516,-10.940,-5.470,16.801,37.118,2.735,-31.258,78.926
'[18:53:42.191 08/07/2079]',-23.053,-5.470,-0.391,3.907,-19.536,1.954,-19.536,12.503,-3.907,7.424,-14.066,-4.298,14.457,1.172,-10.159,-20.708,-3.126,-10.940,1.172,16.410,28.132,-3.907,-10.159,97.289
'[18:53:42.195 08/07/2079]',-22.271,-7.424,0.391,4.298,-16.801,-2.344,-12.112,7.424,-7.424,8.205,-12.894,-7.033,10.159,-1.172,-8.205,-21.880,-5.079,-13.284,0.391,10.159,33.602,-5.861,-8.205,94.164
'[18:53:42.199 08/07/2079]',-20.708,-3.126,2.344,3.126,-14.066,2.735,-8.596,1.563,-3.907,10.159,-8.987,-10.159,17.192,3.126,-11.722,-23.443,-3.516,-12.894,-1.563,2.735,49.621,-7.033,-11.722,76.581
'[18:53:42.203 08/07/2079]',-20.317,6.252,-2.344,3.516,-14.847,3.516,-5.861,5.079,-1.563,9.377,-6.252,-11.331,22.271,9.768,-13.675,-29.695,0.000,-14.847,3.126,-4.689,55.873,-1.563,-13.675,51.184
'[18:53:42.207 08/07/2079]',-24.615,8.205,-5.470,8.205,-14.847,-1.954,-3.907,8.596,-1.172,9.768,-9.768,-6.642,21.490,16.020,-20.317,-26.569,-0.391,-13.675,6.252,-9.768,54.701,7.033,-20.317,26.960
'[18:53:42.211 08/07/2079]',-24.615,9.768,-5.079,2.735,-15.238,1.172,-3.516,1.954,0.391,8.205,-7.033,-1.563,21.880,29.304,-25.788,-26.178,-0.781,-9.768,5.861,-7.424,56.264,11.331,-25.788,2.735
'[18:53:42.215 08/07/2079]',-16.410,21.880,-19.145,2.344,-15.238,4.298,-3.907,5.079,1.954,10.549,-1.954,3.516,22.271,28.523,-9.768,-25.788,0.000,-8.205,19.927,-6.642,33.602,7.424,-9.768,-14.066
'[18:53:42.219 08/07/2079]',-8.987,18.364,-26.178,10.159,-10.940,2.344,-6.642,10.940,3.126,10.549,-4.298,5.861,26.178,21.880,-12.503,-18.755,-0.391,-6.642,26.960,-8.987,29.304,3.907,-12.503,-19.927
'[18:53:42.223 08/07/2079]',-14.457,0.391,-8.205,5.861,-12.894,0.391,-9.377,7.033,0.781,7.033,-10.549,1.954,22.662,16.410,-22.662,-17.192,-2.735,-11.722,8.987,-0.781,44.542,0.391,-22.662,-5.470
'[18:53:42.227 08/07/2079]',-13.284,-11.331,10.159,1.954,-13.284,5.079,-7.424,4.689,3.907,14.847,-11.722,-0.781,27.741,11.722,-17.192,-16.020,-1.172,-14.066,-9.377,19.927,33.602,4.689,-17.192,22.271
'[18:53:42.230 08/07/2079]',-9.768,-14.066,11.722,5.470,-12.503,7.033,-11.331,10.940,7.033,14.457,-14.847,1.563,35.556,1.172,-20.317,-7.814,-1.954,-18.755,-10.940,17.973,43.761,-5.470,-20.317,59.389
'[18:53:42.234 08/07/2079]',-12.503,-8.596,7.424,2.344,-10.159,3.126,-10.940,8.596,5.470,9.377,-16.410,-2.735,36.337,-7.033,-17.973,-15.238,-4.298,-23.443,-6.642,3.126,52.357,-8.205,-17.973,79.316
'[18:53:42.238 08/07/2079]',-21.099,-2.735,5.470,4.298,-13.675,-3.126,-6.252,11.331,2.344,8.205,-16.410,-1.172,31.258,-1.563,-13.675,-22.271,-7.814,-21.880,-4.689,3.907,55.092,-5.861,-13.675,74.237
'[18:53:42.242 08/07/2079]',-17.192,7.424,-9.768,4.298,-12.112,-5.470,-9.377,13.284,2.344,3.126,-14.066,2.344,28.523,8.987,-22.662,-21.490,-9.377,-22.271,10.549,1.172,46.496,-1.172,-22.662,43.370
'[18:53:42.246 08/07/2079]',-7.033,3.126,-15.238,4.689,-3.126,-10.549,-8.205,10.159,0.391,0.000,-16.801,0.391,28.523,5.470,-26.178,-24.615,-8.987,-21.099,16.020,-4.298,43.370,0.000,-26.178,10.940
'[18:53:42.250 08/07/2079]',-12.894,-13.284,-5.079,1.954,-8.596,-16.020,-3.907,0.781,-5.861,0.391,-20.317,-1.563,15.629,2.344,-19.927,-26.178,-14.066,-20.317,5.861,3.516,33.602,7.424,-19.927,7.814
'[18:53:42.254 08/07/2079]',-8.987,-14.066,1.954,-9.377,-9.377,-12.112,-6.642,-0.781,0.391,-1.954,-17.973,0.781,21.880,10.159,-31.258,-19.927,-12.112,-23.443,-1.172,15.629,28.132,5.470,-31.258,42.198
'[18:53:42.258 08/07/2079]',-11.331,11.722,-10.940,-17.973,-8.987,-8.596,-10.549,0.391,-0.391,-0.391,-16.801,-4.689,24.225,-4.689,-21.490,-21.099,-8.596,-25.006,11.722,-4.689,22.271,-2.735,-21.490,102.369
'[18:53:42.262 08/07/2079]',-24.225,19.145,-19.927,-13.284,-17.582,-8.596,-8.987,-1.172,-8.596,-1.563,-12.503,-10.549,11.331,-10.159,-10.549,-25.006,-10.549,-22.662,20.708,-14.066,14.847,0.391,-10.549,150.427
'[18:53:42.266 08/07/2079]',-25.397,10.159,-9.768,-7.033,-17.192,-5.079,-5.079,-2.735,-3.516,-5.079,-1.563,-7.814,15.238,-1.954,-10.159,-22.271,-6.252,-19.927,10.549,-3.516,25.006,-0.781,-10.159,166.056
'[18:53:42.270 08/07/2079]',-19.927,16.801,-20.708,-3.516,-11.331,-0.391,-11.331,-2.735,-1.563,-4.298,-0.781,0.000,13.675,1.954,-11.722,-12.503,-1.563,-14.847,21.490,-7.814,16.410,5.861,-11.722,147.692
'[18:53:42.273 08/07/2079]',-29.304,-4.298,-7.424,-1.172,-14.066,3.907,-21.490,-10.159,0.000,-9.768,0.391,-10.159,9.768,-8.987,-3.126,-18.364,0.391,-17.973,8.205,7.814,7.033,7.424,-3.126,116.044
'[18:53:42.277 08/07/2079]',-31.258,-6.252,3.907,3.126,-16.410,4.689,-14.457,-1.954,3.516,-16.801,9.377,5.079,10.159,-6.252,0.391,-2.735,7.033,-24.225,-3.126,17.973,3.907,4.689,0.391,102.759
'[18:53:42.281 08/07/2079]',-19.927,11.722,-7.424,-4.298,-14.847,17.192,-16.410,-4.689,7.033,-12.112,7.814,-7.814,10.549,-7.814,2.344,-9.768,16.020,-30.867,8.205,7.424,-1.563,-7.424,2.344,111.746
'[18:53:42.285 08/07/2079]',-27.741,11.331,-8.987,21.880,-24.615,30.867,-28.523,19.536,1.563,-5.470,1.563,-3.126,2.344,-17.582,14.847,-5.470,22.662,-35.946,9.768,0.391,-1.172,-15.629,14.847,127.375
'[18:53:42.289 08/07/2079]',-27.350,31.258,-21.490,23.443,-30.476,12.112,-9.377,34.383,-1.172,-4.298,5.861,1.563,-2.344,-9.377,20.317,-5.470,26.178,-32.039,22.271,-21.099,6.252,-13.675,20.317,134.799
'[18:53:42.293 08/07/2079]',-26.960,26.178,-15.629,15.238,-38.291,12.894,-6.642,31.648,-3.907,-7.033,5.079,0.391,-3.907,-14.457,19.536,-6.252,24.225,-26.178,16.410,-14.457,18.364,-31.648,19.536,127.375
'[18:53:42.297 08/07/2079]',-36.728,0.781,12.112,21.490,-42.979,17.973,-13.284,37.509,-5.470,-3.516,0.391,6.252,-10.549,-1.172,7.424,2.344,23.053,-17.973,-11.331,4.689,6.252,-2.735,7.424,129.328
'[18:53:42.301 08/07/2079]',-32.430,1.563,22.662,23.053,-33.211,17.582,-13.675,46.105,-3.126,-6.252,9.768,4.689,-12.894,10.940,-3.126,9.377,23.053,-14.847,-21.880,-2.344,-4.689,22.662,-3.126,139.096
'[18:53:42.305 08/07/2079]',-32.039,2.344,19.927,16.020,-34.774,19.145,-13.284,38.291,-5.470,-1.954,7.033,-5.861,-16.801,23.053,-16.410,3.126,16.410,-14.847,-19.145,6.252,-21.490,32.821,-16.410,157.851
'[18:53:42.309 08/07/2079]',-32.430,-1.563,5.470,30.867,-35.556,20.317,-16.020,35.165,-5.470,12.112,-0.391,-0.781,-22.662,14.066,0.391,12.503,12.112,-13.675,-4.689,21.880,-47.668,18.364,0.391,167.228
'[18:53:42.313 08/07/2079]',-24.225,-17.192,8.987,25.006,-23.443,8.596,-8.596,17.973,-5.861,16.410,3.907,-14.847,-25.397,-2.735,13.284,13.675,8.987,-8.596,-8.205,30.867,-58.608,5.079,13.284,152.772
'[18:53:42.316 08/07/2079]',-4.689,-38.681,3.907,21.099,-13.284,-5.470,7.424,-5.861,-4.689,10.159,14.066,-17.582,-23.834,-0.781,20.317,6.252,0.781,-1.172,-3.126,37.900,-55.873,-0.391,20.317,113.700
'[18:53:42.320 08/07/2079]',-8.205,-32.821,18.755,13.284,-3.907,-10.940,11.722,-3.907,-1.563,-1.954,23.443,-7.424,-19.927,-2.344,28.132,5.861,1.563,-3.126,-17.973,36.728,-39.853,-7.033,28.132,59.389
'[18:53:42.324 08/07/2079]',-5.470,7.033,23.834,5.861,27.350,-5.079,5.861,3.516,10.940,-3.516,38.681,-7.814,-6.642,11.722,29.304,3.516,13.284,-11.331,-23.053,6.252,-18.364,10.940,29.304,8.205
'[18:53:42.328 08/07/2079]',1.954,44.151,6.252,5.079,39.463,3.126,-4.689,20.708,19.927,-1.563,34.383,-1.954,8.987,23.443,10.940,5.861,18.755,-14.066,-5.470,-26.569,-3.126,26.569,10.940,-34.774
'[18:53:42.332 08/07/2079]',-12.112,59.780,-19.536,6.252,19.927,4.689,-6.642,16.801,12.112,-3.126,29.304,0.000,7.033,2.344,21.880,4.689,19.145,-20.317,20.317,-38.681,0.391,3.907,21.880,-70.330
'[18:53:42.336 08/07/2079]',-32.039,82.051,-38.291,6.252,9.768,0.781,-0.781,7.814,16.020,0.391,28.132,-7.814,9.768,-10.549,30.867,5.470,27.741,-31.258,39.072,-51.966,-7.033,-1.563,30.867,-109.792
'[18:53:42.340 08/07/2079]',-57.045,85.958,-54.310,8.205,-18.364,-1.563,6.642,-2.344,13.284,-8.987,30.085,-12.894,4.298,-20.708,39.072,-2.344,25.006,-26.569,55.092,-61.343,-7.033,-5.861,39.072,-162.149
'[18:53:42.344 08/07/2079]',-71.111,64.469,-38.681,8.596,-36.337,-8.987,26.178,-16.801,7.424,-26.569,50.012,-19.927,-2.344,-12.503,45.324,-19.927,22.271,-31.648,39.463,-32.039,-7.033,-7.814,45.324,-223.492
'[18:53:42.348 08/07/2079]',-73.846,75.409,-35.556,13.284,-33.993,16.410,14.066,-16.801,14.066,-32.821,68.376,-26.178,3.516,-2.344,55.873,-33.211,24.225,-32.039,36.337,-29.695,-6.252,-5.861,55.873,-282.882
'[18:53:42.352 08/07/2079]',-80.488,79.316,-30.085,22.662,-32.821,21.880,-0.781,4.298,12.503,-44.933,82.833,-25.006,5.861,1.172,56.264,-38.681,18.364,-19.145,30.867,-30.867,7.424,-5.470,56.264,-320.000
'[18:53:42.355 08/07/2079]',-84.005,71.111,-21.490,29.304,-28.132,16.020,-13.284,21.099,6.252,-47.668,80.488,-25.006,3.516,7.814,43.370,-41.807,15.629,-5.079,22.271,-18.755,9.768,7.814,43.370,-325.470
